"Label (Grouping)","Washington!!Estimate","Washington!!Percent","Adams County, Washington!!Estimate","Adams County, Washington!!Percent","Asotin County, Washington!!Estimate","Asotin County, Washington!!Percent","Benton County, Washington!!Estimate","Benton County, Washington!!Percent","Chelan County, Washington!!Estimate","Chelan County, Washington!!Percent","Clallam County, Washington!!Estimate","Clallam County, Washington!!Percent","Clark County, Washington!!Estimate","Clark County, Washington!!Percent","Columbia County, Washington!!Estimate","Columbia County, Washington!!Percent","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Percent","Douglas County, Washington!!Estimate","Douglas County, Washington!!Percent","Ferry County, Washington!!Estimate","Ferry County, Washington!!Percent","Franklin County, Washington!!Estimate","Franklin County, Washington!!Percent","Garfield County, Washington!!Estimate","Garfield County, Washington!!Percent","Grant County, Washington!!Estimate","Grant County, Washington!!Percent","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Percent","Island County, Washington!!Estimate","Island County, Washington!!Percent","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Percent","King County, Washington!!Estimate","King County, Washington!!Percent","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Percent","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Percent","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Percent","Lewis County, Washington!!Estimate","Lewis County, Washington!!Percent","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Percent","Mason County, Washington!!Estimate","Mason County, Washington!!Percent","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Percent","Pacific County, Washington!!Estimate","Pacific County, Washington!!Percent","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Percent","Pierce County, Washington!!Estimate","Pierce County, Washington!!Percent","San Juan County, Washington!!Estimate","San Juan County, Washington!!Percent","Skagit County, Washington!!Estimate","Skagit County, Washington!!Percent","Skamania County, Washington!!Estimate","Skamania County, Washington!!Percent","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Percent","Spokane County, Washington!!Estimate","Spokane County, Washington!!Percent","Stevens County, Washington!!Estimate","Stevens County, Washington!!Percent","Thurston County, Washington!!Estimate","Thurston County, Washington!!Percent","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Percent","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Percent","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Percent","Whitman County, Washington!!Estimate","Whitman County, Washington!!Percent","Yakima County, Washington!!Estimate","Yakima County, Washington!!Percent"
"        Civilian veterans","499,332","8.4%","544","4.1%","1,947","10.9%","12,706","8.3%","4,447","7.3%","8,204","12.8%","33,836","8.7%","423","12.9%","8,628","10.1%","2,344","7.2%","737","12.2%","3,962","6.0%","274","14.7%","4,960","7.0%","6,703","11.1%","10,887","17.1%","3,621","12.5%","90,263","5.0%","31,176","15.1%","2,865","7.8%","2,215","12.0%","6,252","9.7%","895","10.4%","7,470","14.1%","3,216","9.9%","2,613","13.2%","1,417","12.9%","80,207","11.7%","1,311","8.4%","10,337","10.3%","967","9.7%","48,569","7.6%","43,264","10.3%","3,976","10.8%","28,374","12.5%","617","16.6%","4,045","8.2%","13,011","7.1%","2,000","5.0%","10,049","5.6%"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","7,571,532","7,571,532","20,340","20,340","22,165","22,165","206,256","206,256","78,363","78,363","76,028","76,028","501,549","501,549","3,941","3,941","109,773","109,773","43,063","43,063","7,195","7,195","94,698","94,698","2,283","2,283","98,716","98,716","72,822","72,822","78,904","78,904","32,368","32,368","2,240,808","2,240,808","259,735","259,735","44,196","44,196","22,764","22,764","81,905","81,905","10,907","10,907","64,810","64,810","41,758","41,758","23,174","23,174","13,463","13,463","891,656","891,656","17,924","17,924","127,473","127,473","12,068","12,068","818,836","818,836","529,135","529,135","46,571","46,571","286,433","286,433","4,440","4,440","59,421","59,421","224,896","224,896","46,813","46,813","253,882","253,882"
"        With a disability","985,655","13.0%","2,216","10.9%","4,107","18.5%","29,261","14.2%","14,033","17.9%","15,206","20.0%","63,000","12.6%","902","22.9%","20,706","18.9%","7,972","18.5%","1,878","26.1%","11,154","11.8%","550","24.1%","13,410","13.6%","15,348","21.1%","12,373","15.7%","6,446","19.9%","225,134","10.0%","38,291","14.7%","5,725","13.0%","3,655","16.1%","16,000","19.5%","2,333","21.4%","12,390","19.1%","6,886","16.5%","5,606","24.2%","2,889","21.5%","118,944","13.3%","2,097","11.7%","18,424","14.5%","1,548","12.8%","95,677","11.7%","82,267","15.5%","8,794","18.9%","41,363","14.4%","909","20.5%","9,258","15.6%","29,056","12.9%","5,725","12.2%","34,122","13.4%"
"    Under 18 years","1,661,775","1,661,775","7,159","7,159","4,512","4,512","54,544","54,544","18,112","18,112","12,819","12,819","116,721","116,721","692","692","24,978","24,978","10,828","10,828","1,242","1,242","30,497","30,497","450","450","28,620","28,620","15,176","15,176","15,418","15,418","3,850","3,850","444,969","444,969","54,965","54,965","7,709","7,709","4,302","4,302","17,636","17,636","2,418","2,418","12,782","12,782","9,646","9,646","3,530","3,530","2,598","2,598","212,040","212,040","2,288","2,288","27,602","27,602","2,153","2,153","184,455","184,455","116,667","116,667","9,860","9,860","61,944","61,944","770","770","12,701","12,701","42,887","42,887","7,219","7,219","75,016","75,016"
"        With a disability","73,641","4.4%","200","2.8%","256","5.7%","2,041","3.7%","1,356","7.5%","628","4.9%","4,475","3.8%","38","5.5%","1,632","6.5%","980","9.1%","83","6.7%","1,824","6.0%","10","2.2%","1,184","4.1%","924","6.1%","575","3.7%","251","6.5%","14,967","3.4%","2,617","4.8%","255","3.3%","179","4.2%","834","4.7%","182","7.5%","463","3.6%","427","4.4%","316","9.0%","290","11.2%","9,916","4.7%","55","2.4%","1,410","5.1%","36","1.7%","8,015","4.3%","7,255","6.2%","456","4.6%","2,666","4.3%","102","13.2%","749","5.9%","2,373","5.5%","317","4.4%","3,304","4.4%"
"    18 to 64 years","4,703,770","4,703,770","11,005","11,005","12,436","12,436","120,116","120,116","44,857","44,857","39,823","39,823","304,467","304,467","2,126","2,126","63,974","63,974","24,632","24,632","3,859","3,859","54,891","54,891","1,209","1,209","56,304","56,304","41,104","41,104","41,770","41,770","15,882","15,882","1,496,630","1,496,630","154,293","154,293","29,066","29,066","12,911","12,911","47,174","47,174","5,788","5,788","36,790","36,790","22,855","22,855","12,082","12,082","7,284","7,284","551,789","551,789","9,462","9,462","72,407","72,407","7,302","7,302","519,810","519,810","324,249","324,249","25,519","25,519","172,518","172,518","2,211","2,211","35,201","35,201","141,775","141,775","34,372","34,372","143,827","143,827"
"        With a disability","502,805","10.7%","1,218","11.1%","1,962","15.8%","15,125","12.6%","6,401","14.3%","6,499","16.3%","32,448","10.7%","399","18.8%","11,297","17.7%","3,877","15.7%","899","23.3%","5,968","10.9%","229","18.9%","6,702","11.9%","7,441","18.1%","5,672","13.6%","2,363","14.9%","115,704","7.7%","19,386","12.6%","3,132","10.8%","1,841","14.3%","7,924","16.8%","1,014","17.5%","6,186","16.8%","3,134","13.7%","2,135","17.7%","1,332","18.3%","63,065","11.4%","817","8.6%","8,173","11.3%","771","10.6%","49,864","9.6%","43,648","13.5%","4,252","16.7%","21,647","12.5%","357","16.1%","4,271","12.1%","14,715","10.4%","3,343","9.7%","17,594","12.2%"
"    65 years and over","1,205,987","1,205,987","2,176","2,176","5,217","5,217","31,596","31,596","15,394","15,394","23,386","23,386","80,361","80,361","1,123","1,123","20,821","20,821","7,603","7,603","2,094","2,094","9,310","9,310","624","624","13,792","13,792","16,542","16,542","21,716","21,716","12,636","12,636","299,209","299,209","50,477","50,477","7,421","7,421","5,551","5,551","17,095","17,095","2,701","2,701","15,238","15,238","9,257","9,257","7,562","7,562","3,581","3,581","127,827","127,827","6,174","6,174","27,464","27,464","2,613","2,613","114,571","114,571","88,219","88,219","11,192","11,192","51,971","51,971","1,459","1,459","11,519","11,519","40,234","40,234","5,222","5,222","35,039","35,039"
"        With a disability","409,209","33.9%","798","36.7%","1,889","36.2%","12,095","38.3%","6,276","40.8%","8,079","34.5%","26,077","32.4%","465","41.4%","7,777","37.4%","3,115","41.0%","896","42.8%","3,362","36.1%","311","49.8%","5,524","40.1%","6,983","42.2%","6,126","28.2%","3,832","30.3%","94,463","31.6%","16,288","32.3%","2,338","31.5%","1,635","29.5%","7,242","42.4%","1,137","42.1%","5,741","37.7%","3,325","35.9%","3,155","41.7%","1,267","35.4%","45,963","36.0%","1,225","19.8%","8,841","32.2%","741","28.4%","37,798","33.0%","31,364","35.6%","4,086","36.5%","17,050","32.8%","450","30.8%","4,238","36.8%","11,968","29.7%","2,065","39.5%","13,224","37.7%"
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","7,609,136","7,609,136","20,323","20,323","22,109","22,109","205,177","205,177","78,314","78,314","76,975","76,975","498,631","498,631","3,903","3,903","109,698","109,698","42,850","42,850","7,208","7,208","95,150","95,150","2,284","2,284","97,916","97,916","74,995","74,995","85,844","85,844","32,848","32,848","2,232,189","2,232,189","272,792","272,792","44,018","44,018","22,688","22,688","81,733","81,733","10,951","10,951","65,316","65,316","41,913","41,913","23,199","23,199","13,522","13,522","907,694","907,694","17,913","17,913","128,387","128,387","12,059","12,059","818,963","818,963","533,118","533,118","46,411","46,411","291,616","291,616","4,436","4,436","61,536","61,536","224,605","224,605","46,880","46,880","252,972","252,972"
"        Same house","6,396,134","84.1%","18,516","91.1%","19,005","86.0%","180,190","87.8%","68,280","87.2%","67,434","87.6%","419,630","84.2%","3,438","88.1%","94,248","85.9%","38,151","89.0%","6,323","87.7%","78,816","82.8%","2,052","89.8%","82,841","84.6%","64,133","85.5%","73,524","85.6%","29,256","89.1%","1,834,720","82.2%","229,616","84.2%","34,421","78.2%","20,347","89.7%","70,703","86.5%","9,877","90.2%","57,888","88.6%","36,538","87.2%","20,839","89.8%","12,214","90.3%","755,177","83.2%","15,631","87.3%","111,411","86.8%","10,750","89.1%","707,859","86.4%","441,860","82.9%","41,845","90.2%","243,245","83.4%","4,129","93.1%","51,883","84.3%","186,007","82.8%","33,098","70.6%","220,239","87.1%"
"        Different house (in the U.S. or abroad)","1,213,002","15.9%","1,807","8.9%","3,104","14.0%","24,987","12.2%","10,034","12.8%","9,541","12.4%","79,001","15.8%","465","11.9%","15,450","14.1%","4,699","11.0%","885","12.3%","16,334","17.2%","232","10.2%","15,075","15.4%","10,862","14.5%","12,320","14.4%","3,592","10.9%","397,469","17.8%","43,176","15.8%","9,597","21.8%","2,341","10.3%","11,030","13.5%","1,074","9.8%","7,428","11.4%","5,375","12.8%","2,360","10.2%","1,308","9.7%","152,517","16.8%","2,282","12.7%","16,976","13.2%","1,309","10.9%","111,104","13.6%","91,258","17.1%","4,566","9.8%","48,371","16.6%","307","6.9%","9,653","15.7%","38,598","17.2%","13,782","29.4%","32,733","12.9%"
"            Different house in the U.S.","1,157,284","15.2%","1,622","8.0%","3,024","13.7%","24,229","11.8%","9,721","12.4%","9,335","12.1%","76,816","15.4%","465","11.9%","15,177","13.8%","4,546","10.6%","883","12.3%","15,938","16.8%","204","8.9%","14,810","15.1%","10,787","14.4%","11,825","13.8%","3,549","10.8%","368,079","16.5%","41,540","15.2%","9,452","21.5%","2,070","9.1%","10,871","13.3%","1,010","9.2%","7,282","11.1%","5,057","12.1%","2,349","10.1%","1,308","9.7%","147,221","16.2%","2,215","12.4%","16,495","12.8%","1,301","10.8%","105,510","12.9%","89,762","16.8%","4,520","9.7%","46,238","15.9%","307","6.9%","9,498","15.4%","37,621","16.7%","13,113","28.0%","31,534","12.5%"
"                Same county","692,532","9.1%","713","3.5%","931","4.2%","14,144","6.9%","4,359","5.6%","4,548","5.9%","46,087","9.2%","223","5.7%","8,588","7.8%","1,612","3.8%","223","3.1%","8,835","9.3%","59","2.6%","10,588","10.8%","4,788","6.4%","4,872","5.7%","1,537","4.7%","248,112","11.1%","20,835","7.6%","4,009","9.1%","803","3.5%","5,554","6.8%","469","4.3%","2,400","3.7%","2,768","6.6%","691","3.0%","376","2.8%","84,540","9.3%","955","5.3%","8,456","6.6%","250","2.1%","59,217","7.2%","56,979","10.7%","2,238","4.8%","24,285","8.3%","62","1.4%","4,463","7.3%","22,590","10.1%","5,692","12.1%","24,681","9.8%"
"                Different county","464,752","6.1%","909","4.5%","2,093","9.5%","10,085","4.9%","5,362","6.8%","4,787","6.2%","30,729","6.2%","242","6.2%","6,589","6.0%","2,934","6.8%","660","9.2%","7,103","7.5%","145","6.3%","4,222","4.3%","5,999","8.0%","6,953","8.1%","2,012","6.1%","119,967","5.4%","20,705","7.6%","5,443","12.4%","1,267","5.6%","5,317","6.5%","541","4.9%","4,882","7.5%","2,289","5.5%","1,658","7.1%","932","6.9%","62,681","6.9%","1,260","7.0%","8,039","6.3%","1,051","8.7%","46,293","5.7%","32,783","6.1%","2,282","4.9%","21,953","7.5%","245","5.5%","5,035","8.2%","15,031","6.7%","7,421","15.8%","6,853","2.7%"
"                    Same state","230,031","3.0%","753","3.7%","356","1.6%","5,546","2.7%","3,543","4.5%","1,951","2.5%","7,638","1.5%","156","4.0%","3,623","3.3%","2,220","5.2%","418","5.8%","5,073","5.3%","89","3.9%","2,691","2.7%","4,676","6.2%","3,951","4.6%","1,247","3.8%","38,350","1.7%","8,687","3.2%","4,244","9.6%","621","2.7%","3,561","4.4%","450","4.1%","3,750","5.7%","1,358","3.2%","1,072","4.6%","476","3.5%","34,425","3.8%","572","3.2%","5,679","4.4%","702","5.8%","30,768","3.8%","15,893","3.0%","1,434","3.1%","12,287","4.2%","179","4.0%","3,338","5.4%","9,055","4.0%","4,622","9.9%","4,577","1.8%"
"                    Different state","234,721","3.1%","156","0.8%","1,737","7.9%","4,539","2.2%","1,819","2.3%","2,836","3.7%","23,091","4.6%","86","2.2%","2,966","2.7%","714","1.7%","242","3.4%","2,030","2.1%","56","2.5%","1,531","1.6%","1,323","1.8%","3,002","3.5%","765","2.3%","81,617","3.7%","12,018","4.4%","1,199","2.7%","646","2.8%","1,756","2.1%","91","0.8%","1,132","1.7%","931","2.2%","586","2.5%","456","3.4%","28,256","3.1%","688","3.8%","2,360","1.8%","349","2.9%","15,525","1.9%","16,890","3.2%","848","1.8%","9,666","3.3%","66","1.5%","1,697","2.8%","5,976","2.7%","2,799","6.0%","2,276","0.9%"
"            Abroad","55,718","0.7%","185","0.9%","80","0.4%","758","0.4%","313","0.4%","206","0.3%","2,185","0.4%","0","0.0%","273","0.2%","153","0.4%","2","0.0%","396","0.4%","28","1.2%","265","0.3%","75","0.1%","495","0.6%","43","0.1%","29,390","1.3%","1,636","0.6%","145","0.3%","271","1.2%","159","0.2%","64","0.6%","146","0.2%","318","0.8%","11","0.0%","0","0.0%","5,296","0.6%","67","0.4%","481","0.4%","8","0.1%","5,594","0.7%","1,496","0.3%","46","0.1%","2,133","0.7%","0","0.0%","155","0.3%","977","0.4%","669","1.4%","1,199","0.5%"
"PLACE OF BIRTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","7,688,549","7,688,549","20,557","20,557","22,370","22,370","207,560","207,560","79,076","79,076","77,333","77,333","504,091","504,091","3,980","3,980","110,621","110,621","43,189","43,189","7,260","7,260","96,692","96,692","2,310","2,310","99,145","99,145","75,672","75,672","86,510","86,510","33,006","33,006","2,254,371","2,254,371","275,411","275,411","44,424","44,424","22,798","22,798","82,663","82,663","11,036","11,036","66,053","66,053","42,336","42,336","23,396","23,396","13,570","13,570","918,993","918,993","18,001","18,001","129,480","129,480","12,118","12,118","828,337","828,337","538,711","538,711","46,774","46,774","294,272","294,272","4,476","4,476","62,150","62,150","226,523","226,523","47,141","47,141","256,143","256,143"
"        Native","6,545,121","85.1%","15,853","77.1%","21,654","96.8%","183,561","88.4%","68,007","86.0%","73,455","95.0%","449,775","89.2%","3,837","96.4%","106,047","95.9%","36,535","84.6%","7,094","97.7%","75,240","77.8%","2,278","98.6%","82,822","83.5%","72,081","95.3%","80,003","92.5%","31,509","95.5%","1,701,032","75.5%","256,669","93.2%","42,923","96.6%","20,494","89.9%","78,525","95.0%","10,810","98.0%","61,823","93.6%","37,159","87.8%","21,723","92.8%","13,343","98.3%","822,755","89.5%","16,629","92.4%","117,286","90.6%","11,646","96.1%","681,368","82.3%","510,656","94.8%","45,763","97.8%","269,610","91.6%","4,279","95.6%","55,933","90.0%","204,144","90.1%","42,676","90.5%","208,124","81.3%"
"            Born in United States","6,402,406","83.3%","15,784","76.8%","21,536","96.3%","181,227","87.3%","67,041","84.8%","72,418","93.6%","442,718","87.8%","3,820","96.0%","104,983","94.9%","36,135","83.7%","6,867","94.6%","73,555","76.1%","2,239","96.9%","82,014","82.7%","71,003","93.8%","78,474","90.7%","30,869","93.5%","1,659,555","73.6%","249,572","90.6%","42,473","95.6%","20,173","88.5%","77,834","94.2%","10,718","97.1%","60,648","91.8%","36,542","86.3%","21,536","92.0%","13,244","97.6%","794,569","86.5%","16,285","90.5%","115,228","89.0%","11,515","95.0%","667,055","80.5%","503,579","93.5%","45,357","97.0%","260,828","88.6%","4,269","95.4%","54,239","87.3%","198,978","87.8%","41,777","88.6%","205,749","80.3%"
"                State of residence","3,584,329","46.6%","11,190","54.4%","5,329","23.8%","108,780","52.4%","45,441","57.5%","36,657","47.4%","175,195","34.8%","2,445","61.4%","58,151","52.6%","24,969","57.8%","4,070","56.1%","50,176","51.9%","945","40.9%","58,149","58.7%","47,965","63.4%","32,086","37.1%","13,158","39.9%","885,496","39.3%","116,018","42.1%","29,316","66.0%","7,275","31.9%","49,920","60.4%","7,131","64.6%","35,806","54.2%","25,682","60.7%","10,136","43.3%","7,010","51.7%","461,572","50.2%","6,052","33.6%","70,752","54.6%","4,127","34.1%","412,001","49.7%","291,883","54.2%","27,181","58.1%","135,011","45.9%","1,777","39.7%","30,975","49.8%","116,422","51.4%","22,766","48.3%","155,314","60.6%"
"                Different state","2,818,077","36.7%","4,594","22.3%","16,207","72.4%","72,447","34.9%","21,600","27.3%","35,761","46.2%","267,523","53.1%","1,375","34.5%","46,832","42.3%","11,166","25.9%","2,797","38.5%","23,379","24.2%","1,294","56.0%","23,865","24.1%","23,038","30.4%","46,388","53.6%","17,711","53.7%","774,059","34.3%","133,554","48.5%","13,157","29.6%","12,898","56.6%","27,914","33.8%","3,587","32.5%","24,842","37.6%","10,860","25.7%","11,400","48.7%","6,234","45.9%","332,997","36.2%","10,233","56.8%","44,476","34.3%","7,388","61.0%","255,054","30.8%","211,696","39.3%","18,176","38.9%","125,817","42.8%","2,492","55.7%","23,264","37.4%","82,556","36.4%","19,011","40.3%","50,435","19.7%"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","142,715","1.9%","69","0.3%","118","0.5%","2,334","1.1%","966","1.2%","1,037","1.3%","7,057","1.4%","17","0.4%","1,064","1.0%","400","0.9%","227","3.1%","1,685","1.7%","39","1.7%","808","0.8%","1,078","1.4%","1,529","1.8%","640","1.9%","41,477","1.8%","7,097","2.6%","450","1.0%","321","1.4%","691","0.8%","92","0.8%","1,175","1.8%","617","1.5%","187","0.8%","99","0.7%","28,186","3.1%","344","1.9%","2,058","1.6%","131","1.1%","14,313","1.7%","7,077","1.3%","406","0.9%","8,782","3.0%","10","0.2%","1,694","2.7%","5,166","2.3%","899","1.9%","2,375","0.9%"
"        Foreign born","1,143,428","14.9%","4,704","22.9%","716","3.2%","23,999","11.6%","11,069","14.0%","3,878","5.0%","54,316","10.8%","143","3.6%","4,574","4.1%","6,654","15.4%","166","2.3%","21,452","22.2%","32","1.4%","16,323","16.5%","3,591","4.7%","6,507","7.5%","1,497","4.5%","553,339","24.5%","18,742","6.8%","1,501","3.4%","2,304","10.1%","4,138","5.0%","226","2.0%","4,230","6.4%","5,177","12.2%","1,673","7.2%","227","1.7%","96,238","10.5%","1,372","7.6%","12,194","9.4%","472","3.9%","146,969","17.7%","28,055","5.2%","1,011","2.2%","24,662","8.4%","197","4.4%","6,217","10.0%","22,379","9.9%","4,465","9.5%","48,019","18.7%"
"U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population","1,143,428","1,143,428","4,704","4,704","716","716","23,999","23,999","11,069","11,069","3,878","3,878","54,316","54,316","143","143","4,574","4,574","6,654","6,654","166","166","21,452","21,452","32","32","16,323","16,323","3,591","3,591","6,507","6,507","1,497","1,497","553,339","553,339","18,742","18,742","1,501","1,501","2,304","2,304","4,138","4,138","226","226","4,230","4,230","5,177","5,177","1,673","1,673","227","227","96,238","96,238","1,372","1,372","12,194","12,194","472","472","146,969","146,969","28,055","28,055","1,011","1,011","24,662","24,662","197","197","6,217","6,217","22,379","22,379","4,465","4,465","48,019","48,019"
"        Naturalized U.S. citizen","552,680","48.3%","1,010","21.5%","238","33.2%","9,822","40.9%","4,084","36.9%","2,452","63.2%","30,800","56.7%","43","30.1%","2,232","48.8%","1,738","26.1%","84","50.6%","7,079","33.0%","0","0.0%","4,269","26.2%","1,384","38.5%","4,356","66.9%","913","61.0%","261,394","47.2%","11,368","60.7%","743","49.5%","976","42.4%","1,771","42.8%","114","50.4%","1,352","32.0%","1,160","22.4%","805","48.1%","148","65.2%","55,511","57.7%","713","52.0%","5,769","47.3%","285","60.4%","76,358","52.0%","16,417","58.5%","675","66.8%","14,554","59.0%","93","47.2%","3,251","52.3%","11,794","52.7%","1,330","29.8%","15,595","32.5%"
"        Not a U.S. citizen","590,748","51.7%","3,694","78.5%","478","66.8%","14,177","59.1%","6,985","63.1%","1,426","36.8%","23,516","43.3%","100","69.9%","2,342","51.2%","4,916","73.9%","82","49.4%","14,373","67.0%","32","100.0%","12,054","73.8%","2,207","61.5%","2,151","33.1%","584","39.0%","291,945","52.8%","7,374","39.3%","758","50.5%","1,328","57.6%","2,367","57.2%","112","49.6%","2,878","68.0%","4,017","77.6%","868","51.9%","79","34.8%","40,727","42.3%","659","48.0%","6,425","52.7%","187","39.6%","70,611","48.0%","11,638","41.5%","336","33.2%","10,108","41.0%","104","52.8%","2,966","47.7%","10,585","47.3%","3,135","70.2%","32,424","67.5%"
"YEAR OF ENTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population born outside the United States","1,286,143","1,286,143","4,773","4,773","834","834","26,333","26,333","12,035","12,035","4,915","4,915","61,373","61,373","160","160","5,638","5,638","7,054","7,054","393","393","23,137","23,137","71","71","17,131","17,131","4,669","4,669","8,036","8,036","2,137","2,137","594,816","594,816","25,839","25,839","1,951","1,951","2,625","2,625","4,829","4,829","318","318","5,405","5,405","5,794","5,794","1,860","1,860","326","326","124,424","124,424","1,716","1,716","14,252","14,252","603","603","161,282","161,282","35,132","35,132","1,417","1,417","33,444","33,444","207","207","7,911","7,911","27,545","27,545","5,364","5,364","50,394","50,394"
"        Native","142,715","142,715","69","69","118","118","2,334","2,334","966","966","1,037","1,037","7,057","7,057","17","17","1,064","1,064","400","400","227","227","1,685","1,685","39","39","808","808","1,078","1,078","1,529","1,529","640","640","41,477","41,477","7,097","7,097","450","450","321","321","691","691","92","92","1,175","1,175","617","617","187","187","99","99","28,186","28,186","344","344","2,058","2,058","131","131","14,313","14,313","7,077","7,077","406","406","8,782","8,782","10","10","1,694","1,694","5,166","5,166","899","899","2,375","2,375"
"            Entered 2010 or later","34,833","24.4%","0","0.0%","0","0.0%","642","27.5%","256","26.5%","113","10.9%","1,429","20.2%","0","0.0%","169","15.9%","134","33.5%","4","1.8%","414","24.6%","0","0.0%","63","7.8%","302","28.0%","290","19.0%","56","8.8%","11,405","27.5%","1,530","21.6%","106","23.6%","43","13.4%","149","21.6%","29","31.5%","244","20.8%","167","27.1%","16","8.6%","3","3.0%","7,534","26.7%","67","19.5%","247","12.0%","22","16.8%","3,446","24.1%","1,614","22.8%","45","11.1%","1,863","21.2%","0","0.0%","345","20.4%","1,128","21.8%","280","31.1%","678","28.5%"
"            Entered before 2010","107,882","75.6%","69","100.0%","118","100.0%","1,692","72.5%","710","73.5%","924","89.1%","5,628","79.8%","17","100.0%","895","84.1%","266","66.5%","223","98.2%","1,271","75.4%","39","100.0%","745","92.2%","776","72.0%","1,239","81.0%","584","91.3%","30,072","72.5%","5,567","78.4%","344","76.4%","278","86.6%","542","78.4%","63","68.5%","931","79.2%","450","72.9%","171","91.4%","96","97.0%","20,652","73.3%","277","80.5%","1,811","88.0%","109","83.2%","10,867","75.9%","5,463","77.2%","361","88.9%","6,919","78.8%","10","100.0%","1,349","79.6%","4,038","78.2%","619","68.9%","1,697","71.5%"
"        Foreign born","1,143,428","1,143,428","4,704","4,704","716","716","23,999","23,999","11,069","11,069","3,878","3,878","54,316","54,316","143","143","4,574","4,574","6,654","6,654","166","166","21,452","21,452","32","32","16,323","16,323","3,591","3,591","6,507","6,507","1,497","1,497","553,339","553,339","18,742","18,742","1,501","1,501","2,304","2,304","4,138","4,138","226","226","4,230","4,230","5,177","5,177","1,673","1,673","227","227","96,238","96,238","1,372","1,372","12,194","12,194","472","472","146,969","146,969","28,055","28,055","1,011","1,011","24,662","24,662","197","197","6,217","6,217","22,379","22,379","4,465","4,465","48,019","48,019"
"            Entered 2010 or later","361,568","31.6%","1,034","22.0%","352","49.2%","6,065","25.3%","2,262","20.4%","785","20.2%","12,505","23.0%","10","7.0%","818","17.9%","1,196","18.0%","46","27.7%","4,532","21.1%","0","0.0%","3,472","21.3%","537","15.0%","1,257","19.3%","260","17.4%","214,482","38.8%","3,845","20.5%","359","23.9%","532","23.1%","533","12.9%","57","25.2%","1,520","35.9%","2,000","38.6%","370","22.1%","4","1.8%","23,215","24.1%","271","19.8%","2,278","18.7%","52","11.0%","45,372","30.9%","8,512","30.3%","123","12.2%","5,504","22.3%","20","10.2%","927","14.9%","5,634","25.2%","2,604","58.3%","8,223","17.1%"
"            Entered before 2010","781,860","68.4%","3,670","78.0%","364","50.8%","17,934","74.7%","8,807","79.6%","3,093","79.8%","41,811","77.0%","133","93.0%","3,756","82.1%","5,458","82.0%","120","72.3%","16,920","78.9%","32","100.0%","12,851","78.7%","3,054","85.0%","5,250","80.7%","1,237","82.6%","338,857","61.2%","14,897","79.5%","1,142","76.1%","1,772","76.9%","3,605","87.1%","169","74.8%","2,710","64.1%","3,177","61.4%","1,303","77.9%","223","98.2%","73,023","75.9%","1,101","80.2%","9,916","81.3%","420","89.0%","101,597","69.1%","19,543","69.7%","888","87.8%","19,158","77.7%","177","89.8%","5,290","85.1%","16,745","74.8%","1,861","41.7%","39,796","82.9%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
